Ref,Val,Package,PosX,PosY,Rot,Side
C1,10nF,0603,-67.2,1.1,-90,bottom
C2,1uF,0603,-53.5466,-3.6852,180,bottom
C3,22nF,0603,-53.5466,-5.1852,0,bottom
C4,2.2nF,0603,-62.1,-2.9,90,bottom
C5,22nF,0603,-53.35,5.5,0,bottom
C6,2.2uF,0805,-53.318,7.3,180,bottom
C7,22nF,0603,-63.6,-2.9,90,bottom
C8,2.2uF,0805,-65.4,-3.05,-90,bottom
C9,22nF,0603,-70.2,-1.9,90,bottom
C10,1uF,0603,-67.2,-2.4,-90,bottom
C11,22nF,0603,-68.7,-2.4,90,bottom
C12,10n,0603,-65.4,-10,90,bottom
C13,4.7uF,0603,-66.655,13.35,-90,bottom
C14,100n,0603,-69.5,-12.3,180,bottom
C15,2.2uF,0805,-69.8,-14.1,0,bottom
C16,4.7uF,0603,-70.155,15.75,0,bottom
J1,BM09B-SRSS-TB_LF__SN_,JST_BM09B-SRSS-TB_LF__SN_,0,-10.2,180,bottom
J2,SM08B-SRSS-TB_LF__SN_,JST_SM08B-SRSS-TB_LF__SN_,-80.15,0,90,bottom
M1,~,WURTH ELEKTRONIK 9774010151R,0,30,180,bottom
M2,~,WURTH ELEKTRONIK 9774010151R,-26,-15,180,bottom
M3,~,WURTH ELEKTRONIK 9774010151R,26,-15,180,bottom
M4,~,WURTH ELEKTRONIK 9774010151R,0,0,180,bottom
R1,10k,0603,-68.7,1.1,90,bottom
R2,47R,0603,-69.4,6.8,0,bottom
R3,47R,0603,-63.6,4.8,-90,bottom
R4,47R,0603,-69.4,5.3,0,bottom
R5,10k,0603,-62.1,4.8,-90,bottom
R6,10k,0603,-64.9,0.4,0,bottom
R7,10k,0603,-70.2,1.1,90,bottom
R8,100k,0603,-73.155,12.15,90,bottom
U1,ATMXT336UD-MAUHA1,56-XFQFN Exposed Pad,-57.625,0.85,180,bottom
U2,ICM-42670-P,LGA-14,-68.6,-10,180,bottom
U3,MCP1824T-3302E_OT,SOT-23-5,-70.155,12.15,180,bottom
